ID,WL,U,V,Sal,Temp,TRACE_1,WQ_1,WQ_2,WQ_3,WQ_4,WQ_5,WQ_6,WQ_7,WQ_8,WQ_9,WQ_10,WQ_11,WQ_12,WQ_13,WQ_14,WQ_15,WQ_16,WQ_17,WQ_18,WQ_19,WQ_20,WQ_21,WQ_22,WQ_23,WQ_24,WQ_25
1,0.9300,0.0000,0.0000,35.5438,24.0102,0.0000,0.0000,1.5291,0.6553,209.0858,6.7996,1.3670,0.8967,0.2530,0.0253,66.6667,62.6667,4.8100,10.9153,0.0449,0.0561,100.0000,11.2233,0.0112,3.1333,0.3778,0.2834,0.7557,5.1953,2.8338,0.0570
2,0.9300,0.0000,0.0000,35.5438,24.0102,0.0000,0.0000,1.5291,0.6553,209.0858,6.7996,1.3670,0.8967,0.2530,0.0253,66.6667,62.6667,4.8100,10.9153,0.0449,0.0561,100.0000,11.2233,0.0112,3.1333,0.3778,0.2834,0.7557,5.1953,2.8338,0.0570
3,0.9300,0.0000,0.0000,35.5438,24.0102,0.0000,0.0000,1.5291,0.6553,209.0858,6.7996,1.3670,0.8967,0.2530,0.0253,66.6667,62.6667,4.8100,10.9153,0.0449,0.0561,100.0000,11.2233,0.0112,3.1333,0.3778,0.2834,0.7557,5.1953,2.8338,0.0570
4,0.9300,0.0000,0.0000,35.5438,24.0102,0.0000,0.0000,1.5291,0.6553,209.0858,6.7996,1.3670,0.8967,0.2530,0.0253,66.6667,62.6667,4.8100,10.9153,0.0449,0.0561,100.0000,11.2233,0.0112,3.1333,0.3778,0.2834,0.7557,5.1953,2.8338,0.0570
5,0.9300,0.0000,0.0000,35.5438,24.0102,0.0000,0.0000,1.5291,0.6553,209.0858,6.7996,1.3670,0.8967,0.2530,0.0253,66.6667,62.6667,4.8100,10.9153,0.0449,0.0561,100.0000,11.2233,0.0112,3.1333,0.3778,0.2834,0.7557,5.1953,2.8338,0.0570
6,0.9300,0.0000,0.0000,35.5438,24.0102,0.0000,0.0000,1.5291,0.6553,209.0858,6.7996,1.3670,0.8967,0.2530,0.0253,66.6667,62.6667,4.8100,10.9153,0.0449,0.0561,100.0000,11.2233,0.0112,3.1333,0.3778,0.2834,0.7557,5.1953,2.8338,0.0570
7,0.9300,0.0000,0.0000,35.5438,24.0102,0.0000,0.0000,1.5291,0.6553,209.0858,6.7996,1.3670,0.8967,0.2530,0.0253,66.6667,62.6667,4.8100,10.9153,0.0449,0.0561,100.0000,11.2233,0.0112,3.1333,0.3778,0.2834,0.7557,5.1953,2.8338,0.0570
8,0.9300,0.0000,0.0000,35.5438,24.0102,0.0000,0.0000,1.5291,0.6553,209.0858,6.7996,1.3670,0.8967,0.2530,0.0253,66.6667,62.6667,4.8100,10.9153,0.0449,0.0561,100.0000,11.2233,0.0112,3.1333,0.3778,0.2834,0.7557,5.1953,2.8338,0.0570
9,0.9300,0.0000,0.0000,35.5438,24.0102,0.0000,0.0000,1.5291,0.6553,209.0858,6.7996,1.3670,0.8967,0.2530,0.0253,66.6667,62.6667,4.8100,10.9153,0.0449,0.0561,100.0000,11.2233,0.0112,3.1333,0.3778,0.2834,0.7557,5.1953,2.8338,0.0570
10,0.9300,0.0000,0.0000,35.5438,24.0102,0.0000,0.0000,1.5291,0.6553,209.0858,6.7996,1.3670,0.8967,0.2530,0.0253,66.6667,62.6667,4.8100,10.9153,0.0449,0.0561,100.0000,11.2233,0.0112,3.1333,0.3778,0.2834,0.7557,5.1953,2.8338,0.0570
